Ticker,Name,Recommendation,Current Price,Target Price,Upside (%),Analyst Opinions
AKTX,"Akari Therapeutics, Plc",strong_buy,1.19,7.0,488.24,1
ALAR,Alarum Technologies Ltd.,strong_buy,10.46,15.0,43.4,2
ALLT,Allot Ltd.,strong_buy,8.14,13.0,59.71,1
ANTA,n/a,strong_buy,12.2,19.25,57.79,2
ARBB,ARB IOT Group Limited,buy,6.8,20.0,194.12,1
ARGX,argenx SE,strong_buy,577.89,764.0706,32.22,22
ASML,ASML Holding N.V.,buy,761.0,921.5609,21.1,12
ASND,Ascendis Pharma A/S,strong_buy,170.8,228.18948,33.6,16
BENF,Beneficient,strong_buy,0.299,4.0,1237.79,1
BIDU,"Baidu, Inc.",buy,86.0,105.81128,23.04,33
BILI,Bilibili Inc.,buy,20.02,25.247768,26.11,29
BNTX,BioNTech SE,buy,106.57,135.55322,27.2,21
BTDR,Bitdeer Technologies Group,strong_buy,12.68,20.56667,62.2,12
BWAY,BrainsWay Ltd.,strong_buy,10.9,15.05,38.07,4
CDRO,"Codere Online Luxembourg, S.A.",strong_buy,7.74,11.33333,46.43,3
CHA,Chagee Holdings Limited,strong_buy,29.38,40.204308,36.84,4
CLLS,Cellectis S.A.,buy,1.33,5.75,332.33,4
CRDL,Cardiol Therapeutics Inc.,buy,1.46,9.052536,520.04,4
DADA,Dada Nexus Limited,buy,1.985,2.4197884,21.9,7
DLO,DLocal Limited,buy,9.81,12.61,28.54,10
EDRY,EuroDry Ltd.,buy,8.92,20.0,124.22,3
EH,EHang Holdings Limited,strong_buy,16.65,27.318308,64.07,10
ESEA,Euroseas Ltd.,strong_buy,43.61,56.0,28.41,3
ETOR,eToro Group Ltd.,buy,61.56,75.2,22.16,15
EVAX,Evaxion A/S,strong_buy,2.77,13.25,378.34,3
EVGN,Evogene Ltd.,strong_buy,1.38,3.5,153.62,2
EVO,Evotec SE,buy,4.27,6.6481743,55.69,6
FLX,BingEx Ltd,strong_buy,3.87,4.7042685,21.56,1
FUFU,BitFuFu Inc.,buy,3.07,8.635,181.27,2
FUTU,Futu Holdings Limited,strong_buy,111.5,144.56494,29.65,15
GAMB,Gambling.com Group Limited,strong_buy,11.76,18.57143,57.92,7
GDEV,GDEV Inc.,buy,19.13,70.0,265.92,1
GDS,GDS Holdings Limited,buy,25.68,41.310722,60.87,19
GHRS,GH Research PLC,strong_buy,12.76,33.14286,159.74,7
GILT,Gilat Satellite Networks Ltd.,strong_buy,6.08,8.4,38.16,2
GLBE,Global-E Online Ltd.,buy,31.97,46.74467,46.21,15
GMAB,Genmab A/S,buy,22.82,29.6875,30.09,8
GRAB,Grab Holdings Limited,strong_buy,4.57,5.78741,26.64,27
HCM,HUTCHMED (China) Limited,buy,16.9,25.66867,51.89,15
HEPS,D-Market Elektronik Hizmetler ve Ticaret A.S.,buy,2.85,4.2668777,49.72,3
HMR,Heidmar Maritime Holdings Corp.,buy,1.7,6.0,252.94,1
HSAI,Hesai Group,strong_buy,20.07,25.869677,28.9,15
HTHT,H World Group Limited,strong_buy,33.3,44.293846,33.01,16
HUIZ,Huize Holding Limited,buy,2.04,2.9003553,42.17,2
ICLR,ICON Public Limited Company,buy,145.66,177.53333,21.88,15
IINN,Inspira Technologies Oxy B.H.N. Ltd.,strong_buy,0.7259,2.0,175.52,1
